Track URI;Track;Album;Artist;Release;Release Year;Artist;Name(s);Release;Date;Duration;(ms);Popularity;Explicit;Added;By;Added;At;Genres;Record;Label;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Time;Signature
spotify:track:3K8BeABgLXZ3JHhdM3rZBx;No Puedo Vivir Sin Ti;Por Mi y por Todos Mis Compañeros;El Canto Del Loco;24/11/2009;214960;56;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Columbia (BMG Spain);0.666;0.834;0;-3.314;1;0.0318;0.0246;0;0.208;0.61;129.982;4;;;;;;;;;;
spotify:track:1sMgCr1RH0HfAazVZt9xmZ;El Secreto de las Tortugas;Es un Secreto...No Se Lo Digas a Nadie;Maldita Nerea;07/05/2009;247840;62;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Ariola;0.576;0.756;1;-6.554;1;0.0486;0.00726;0.00071;0.343;0.709;169.985;4;;;;;;;;;;
spotify:track:42VgiRyg0YjtRVLiPFNxPJ;Zapatillas;Zapatillas;El Canto Del Loco;27/06/1905;172640;63;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Ariola;0.428;0.956;8;-2.382;0;0.178;0.0281;0;0.58;0.686;198.076;4;;;;;;;;;;
spotify:track:1VB4sadHjFcFklHcZuoROi;Como Camarón;Estopa;Estopa;18/10/1999;202026;67;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;flamenco,flamenco pop;Ariola;0.499;0.721;9;-9.615;0;0.0564;0.216;0.00000974;0.295;0.843;140.4;4;;;;;;;;;;
spotify:track:3hlWUNjAlbZ6nOjAbrivBv;Princesas;Animales;Pereza;07/04/2005;217000;64;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;RCA Anxious;0.683;0.846;7;-3.551;1;0.0422;0.0634;0;0.346;0.706;131.884;4;;;;;;;;;;
spotify:track:4waqcUQWdj0yH26STWl2Rq;Rosas;Lo Que Te Conte Mientras Te Hacias La Dormida;La Oreja de Van Gogh;2003;236506;80;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;pop latino;Columbia;0.783;0.685;9;-5.008;1;0.0271;0.627;0.00000349;0.108;0.54;107.01;4;;;;;;;;;;
spotify:track:4QBrx05HrLnohYaS1cPGHO;Volvera;Zapatillas;El Canto Del Loco;27/06/1905;229746;61;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Ariola;0.568;0.892;1;-3.091;1;0.0464;0.0111;0;0.379;0.783;126.02;4;;;;;;;;;;
spotify:track:0XJAzR3E4lq5aNGGDh8HUT;Con La Luna Llena;Con La Luna Llena;Melendi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spotify:track:5OaqffbeQyVVqtnA71Ci7K;Por la Raja de Tu Falda;Estopa;Estopa;18/10/1999;202826;65;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;flamenco,flamenco pop;Ariola;0.759;0.722;9;-9.906;0;0.0765;0.323;0;0.719;0.928;97.518;4;;;;;;;;;;
spotify:track:7cC1xYRITIkGKAGCSyqCAv;Son de Amores;Andy & Lucas;Andy & Lucas;15/04/2004;234813;15;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;flamenco,flamenco pop;Ariola;0.686;0.849;2;-5.365;0;0.158;0.466;0;0.666;0.712;81.94;4;;;;;;;;;;
spotify:track:3ri9fLG89OdSpjxheYxU7S;Me Muero;El Mundo Se Equivoca;La Quinta Estacion;15/08/2006;189560;74;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;pop latino;Ariola;0.424;0.74;5;-3.243;1;0.0347;0.171;0;0.273;0.585;169.914;4;;;;;;;;;;
spotify:track:1uFW6czrHk5PsK3s6gOI7C;Se Fue;Cosa Nuestra;Rauw Alejandro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spotify:track:0quM3iWAOKw9OGIMBsppSC;SI ELLA SUPIERA;Nuestro Mundo;India Martinez;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spotify:track:6z98CyBiVapgBCecH98y4d;El Polvo de los Días Raros;El Polvo de los Días Raros;Leiva;07/02/2025;247878;48;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Sony Music Entertainment;0.284;0.651;11;-7.884;1;0.0374;0.00391;0.017;0.3;0.414;169.953;4;;;;;;;;;;
spotify:track:1TtwCkFbGv89XmuUNmoINt;Puede Ser (with Amaia Montero);A Contracorriente;El Canto Del Loco;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spotify:track:4l7qXzZrZnr2RUgSVSKtnD;Carpe Diem;El Último Día de Nuestras Vidas;Dani Martín;29/11/2024;240016;57;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Sony Music Entertainment;0.615;0.539;7;-5.203;1;0.0587;0.0639;0;0.111;0.447;142.005;4;;;;;;;;;;
spotify:track:5xKUXB7fsIEpDYc6mBfSwT;Hoy no me siento bien;Hoy no me siento bien;Alejandro Sanz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spotify:track:6XY4Zaf0AoE5movPc2FfaZ;La Salvación;La Salvación;Arde Bogotá;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spotify:track:5zyxGztIuOp27VhkVf1hMZ;Dolce Vita;Dolce Vita;Amaral;01/02/2025;215433;35;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Sony Music Entertainment;0.514;0.831;0;-5.147;1;0.0349;0.0032;0.00000139;0.228;0.488;126.959;4;;;;;;;;;;
spotify:track:51VLqRIxEjfT6guWSxEElY;Pop;Pop;Vicco;08/09/2023;149710;45;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Sony Music Entertainment;0.895;0.721;9;-6.296;1;0.0423;0.0908;0.00000246;0.105;0.836;138.006;4;;;;;;;;;;
spotify:track:7bM39j41perIVseatvugg3;PLAN DE HOY [QUIERO VERTE];PLAN DE HOY [QUIERO VERTE];Abraham Mateo;27/03/2025;191551;50;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Sony Music Latin;0.577;0.775;2;-1.585;1;0.0357;0.0147;0;0.384;0.529;111.942;4;;;;;;;;;;
spotify:track:27AycGPhBPGCc6YnTZTaSh;HOY TENGO GANAS DE TI;HOY TENGO GANAS DE TI;Abraham Mateo;22/08/2024;170672;50;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Sony Music Latin;0.32;0.62;4;-5.228;0;0.04;0.231;0;0.095;0.415;172.083;4;;;;;;;;;;
spotify:track:5sKdpvvNyRJifUmYLNiYys;Viento de Cara;Viento de Cara;Supersubmarina;22/09/2014;257106;56;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;indie;Sony Music Entertainment;0.522;0.715;9;-4.831;1;0.0342;0.0105;0.000827;0.311;0.316;129.999;4;;;;;;;;;;
spotify:track:3CmSv76KDKsvtiyrdgHZHH;La Razón;La Razón;Ana Mena;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spotify:track:4bPxqFfAt9EaFqdIDTxczw;Me Acuerdo De Ti;Insomnio;Abraham Mateo;04/04/2024;146333;42;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Sony Music Entertainment;0.738;0.871;1;-4.605;1;0.0483;0.0023;0;0.313;0.746;130.023;4;;;;;;;;;;
spotify:track:6o8AfVju660AZb5XL5rzzP;Futuros amantes;Futuros amantes;Guitarricadelafuente;28/03/2025;164000;41;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Sony Music Entertainment;0.569;0.435;11;-7.74;1;0.034;0.586;0;0.236;0.549;75.117;4;;;;;;;;;;
spotify:track:3MTzCXM4r6yTOLhiuIaRfh;Bailarina;Insomnio;Abraham Mateo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spotify:track:1RG4xMoRobbuqGYHaF4nRp;Tormenta Perfecta;Tormenta Perfecta;Amaia Montero;31/12/2014;237002;34;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Ariola;0.511;0.531;2;-5.375;1;0.0269;0.00689;0;0.358;0.225;84.029;3;;;;;;;;;;
spotify:track:7CsOowK8aWlxgjuZLW7pXA;EL PANTALON - RUMBAS;LAGRIMAS DE UN MALEANTE;Omar Montes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spotify:track:26V1bLUk0SBYkLEwl4caPR;Clavaito;Clavaito;Chanel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spotify:track:6KHxe3Yj8W8oq3zviUvJRe;Madrid City;Madrid City;Ana Mena;29/09/2023;172727;64;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Sony Music Entertainment;0.73;0.87;1;-3.718;0;0.0561;0.0272;0.0000029;0.45;0.184;132.011;4;;;;;;;;;;
spotify:track:7MKO7rUZzjw8p87zdZDgqa;Besos;Zapatillas;El Canto Del Loco;2005;145826;60;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Ariola;0.576;0.909;10;-3.306;1;0.0523;0.00679;0.00000442;0.134;0.544;104.971;4;;;;;;;;;;
spotify:track:1b9sYsa4aFiBv7mqOKvwsM;Nunca Volverás;Nunca Volverás;Vicco;22/09/2023;171440;34;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Sony Music Entertainment;0.617;0.668;11;-8.144;0;0.0729;0.414;0.000802;0.112;0.392;171.86;4;;;;;;;;;;
spotify:track:00MEN35cUoB4rp00iZuiFV;ENGATUSAO =^.^=;ENGATUSAO =^.^=;Vicco;05/07/2024;148383;33;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Sony Music Entertainment;0.793;0.657;1;-6.201;0;0.0714;0.0515;0.00381;0.0572;0.58;129.958;4;;;;;;;;;;
spotify:track:45VlOHY7pEd6IC3plYeKZ3;BABIECA!;Spanish Leather;Guitarricadelafuente;16/05/2025;166068;62;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Sony Music Entertainment;0.574;0.536;11;-9.222;1;0.108;0.648;0.0000666;0.297;0.396;142.039;4;;;;;;;;;;
spotify:track:5MMEQLCzl9GsknyH42xFOX;Palmeras en el jardín;Palmeras en el jardín;Alejandro Sanz;25/10/2024;180725;58;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;pop latino;Sony Music Entertainment;0.576;0.429;7;-7.4;1;0.341;0.875;0;0.0982;0.17;133.637;4;;;;;;;;;;
spotify:track:6vYVTjrP8Nd6nsdjCrabM5;El Último Día de Nuestras Vidas;El Último Día de Nuestras Vidas;Dani Martín;03/10/2024;226626;49;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Sony Music Entertainment;0.533;0.743;10;-5.861;1;0.159;0.0056;0.00000571;0.0894;0.518;75.179;4;;;;;;;;;;
spotify:track:02FKjeU8CrA2ckppBa5RJg;Comiendote a Besos;Con Derecho A...;Rozalén;12/03/2013;241986;53;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;cantautores;Ariola;0.585;0.539;0;-5.105;1;0.039;0.603;0;0.229;0.5;120.095;4;;;;;;;;;;
spotify:track:2Y9xXXMWqETUfonJjXP25k;Tienes Que Saber;Tienes Que Saber;Abraham Mateo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spotify:track:0EpdLuptraYGFZ6J7HNSLc;LAS 12;LAS 12;Ana Mena;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spotify:track:4snJ71Uz5KvX1CW0SaUiZY;Falsos Recuerdos;Falsos Recuerdos;Abraham Mateo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spotify:track:7cJDcvC6nSbkx4quEn7vTk;Titiritar;Titiritar;Pol Granch;17/05/2024;181864;36;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Sony Music Entertainment;0.7;0.672;0;-6.995;1;0.05;0.00736;0.00000985;0.143;0.634;140.023;4;;;;;;;;;;
spotify:track:3asOJIkC0NT24zR2S20azY;A carta cabal;La Cantera;Guitarricadelafuente;06/05/2022;269730;35;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Sony Music Entertainment;0.205;0.331;3;-9.225;1;0.0351;0.843;0.403;0.105;0.235;60.774;4;;;;;;;;;;
spotify:track:2SiAcexM2p1yX6joESbehd;LLYLM;LLYLM;ROSALÍA;27/01/2023;174044;63;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;latina;Columbia;0.555;0.634;6;-5.522;0;0.273;0.129;0.00000232;0.188;0.555;170.228;4;;;;;;;;;;
spotify:track:1uUVwLyzKnU8ft18H3QDu9;solo x ti;Amor Escupido;Pol Granch;28/10/2022;198758;49;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Sony Music Entertainment;0.793;0.636;11;-4.455;0;0.0382;0.28;0.0000176;0.111;0.484;117.985;4;;;;;;;;;;
spotify:track:0ALmQwK6LPYk8dkZozCGd9;No, No Vuelve;No, No Vuelve;Dani Martín;11/11/2021;228760;42;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Sony Music Entertainment;0.573;0.51;7;-5.184;1;0.0284;0.0189;0;0.0911;0.221;148.031;4;;;;;;;;;;
spotify:track:60e6OnYOu0h7LLhYXgINma;La Culpa (feat. Canelita);La Culpa (feat. Canelita);C. Tangana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spotify:track:1MAbXU7OMsOSEH9RoGT5Rs;La increíble historia entre tú y yo;La increíble historia entre tú y yo;Maldita Nerea;16/09/2022;159947;30;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Sony Music Entertainment;0.501;0.815;7;-5.207;1;0.0814;0.000153;0.00000217;0.0552;0.635;157.913;4;;;;;;;;;;
spotify:track:34vh6JPA1veSYpM0hkNCSE;Gigante;Gigante;Leiva;04/04/2025;252874;59;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Sony Music Entertainment;0.652;0.628;5;-7.37;1;0.0354;0.0305;0.000015;0.0744;0.657;84.996;4;;;;;;;;;;
spotify:track:1J9wWlo3oI3HjPnp48L3XL;TE PIENSO A CADA HORA;TE PIENSO A CADA HORA;Dvicio;18/02/2022;194323;27;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Sony Music Entertainment;0.654;0.689;0;-6.171;0;0.0747;0.0232;0.00000116;0.0922;0.752;145.028;4;;;;;;;;;;
spotify:track:1JurgyjeCTcDyZErghSV0y;Ké Más Nos Da;Estopía;Estopa;15/03/2024;200367;52;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;flamenco,flamenco pop;Sony Music Entertainment;0.481;0.85;7;-7.093;1;0.0362;0.00911;0.000251;0.128;0.646;98.044;4;;;;;;;;;;
spotify:track:20CozgjF6bshBw8cLhN23B;Nochentera;Nochentera;Vicco;19/12/2022;202184;61;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Sony Music Entertainment;0.802;0.728;8;-6.456;0;0.0533;0.0233;0;0.119;0.782;121.92;4;;;;;;;;;;
spotify:track:60WnyQpJMxndoCwfo3TbuE;XQ Sigues Pasando :(;XQ Sigues Pasando :(;Abraham Mateo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spotify:track:5LNJHJJd8aBY0aW9CgSgbz;La Musiquita;La Musiquita;Daviles de Novelda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spotify:track:4GKjSwmowWO082NGn11wNj;Ester Expósito;Ester Expósito;Dani Martín;19/02/2024;213206;50;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Sony Music Entertainment;0.441;0.849;6;-4.388;0;0.0392;0.117;0;0.146;0.625;91.887;4;;;;;;;;;;
spotify:track:7GJVqqE79WOl8ncT7Y4z0L;Lentamente;bellodrama;Ana Mena;24/03/2023;184195;44;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Sony Music Entertainment;0.76;0.71;9;-4.984;0;0.0428;0.205;0;0.349;0.707;111.957;4;;;;;;;;;;
spotify:track:7nIwaCJSx1QHK82f5HlRDe;Pon Que Dale;Camino;Niña Pastori;28/04/2023;194459;40;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;flamenco,flamenco pop,villancicos;Sony Music Entertainment;0.754;0.69;6;-8.226;0;0.0701;0.357;0.0000201;0.0787;0.78;161.97;4;;;;;;;;;;
spotify:track:21AH6D2xxBxjduEbZHh7i5;Cómo Me Gustaría Contarte;Lo Que Me Dé la Gana;Dani Martín;16/10/2020;229946;50;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Sony Music Entertainment;0.582;0.253;0;-10.095;1;0.0352;0.736;0;0.109;0.271;143.89;4;;;;;;;;;;
spotify:track:4XdePl1vOF1cYjTBYeYU9j;20 de Enero;Lo Que Te Conte Mientras Te Hacias La Dormida;La Oreja de Van Gogh;25/06/1905;223000;67;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;pop latino;Columbia;0.593;0.893;0;-4.047;1;0.0349;0.38;0.000603;0.156;0.643;145.029;4;;;;;;;;;;
spotify:track:5xiAfKzE3mbxYbOkUZPR11;Ateo;Ateo;C. Tangana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spotify:track:5BSclXJTa9B0iURhUjZo50;La Tortura (feat. Alejandro Sanz);Fijación Oral, Vol. 1;Shakira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spotify:track:53y5byq0942aVeWaxU6mPa;Kriño;Kriño;Pol Granch;27/01/2022;165129;28;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Sony Music Entertainment;0.565;0.419;5;-10.499;1;0.126;0.744;0;0.147;0.548;157.943;4;;;;;;;;;;
spotify:track:4aAfLSx9IthpC3Pw5pNk3E;Como Si Fueras a Morir Mañana;Nuclear;Leiva;22/03/2019;240984;66;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Sony Music Entertainment;0.46;0.816;3;-6.576;1;0.0427;0.00144;0;0.11;0.373;143.892;4;;;;;;;;;;
spotify:track:3CY6JuDw7bEHRmryKvTuoe;La Noria (with Amaral);Los Amigos De Los Animales;Pereza;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spotify:track:07TRc0Glkk8wDVq3eC5f2Z;Me He Pillao x Ti;bellodrama;Ana Mena;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spotify:track:490e7PHsxkzMot8qCO36Bt;pa;un mechón de pelo;TINI;11/04/2024;190649;61;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;pop latino;5020 Records;0.57;0.271;10;-9.41;1;0.0354;0.689;0;0.199;0.326;143.666;4;;;;;;;;;;
spotify:track:70AYiGbc4mWZGEqiipBBDb;CANDY;MOTOMAMI;ROSALÍA;18/03/2022;193480;65;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;latina;Columbia;0.638;0.49;4;-5.726;0;0.226;0.885;0.0116;0.156;0.403;179.905;4;;;;;;;;;;
spotify:track:53dfoY17ZWSnG92lrBCqMg;Nena;Amor Escupido;Pol Granch;28/10/2022;195797;32;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Sony Music Entertainment;0.753;0.547;4;-11.643;1;0.0635;0.545;0.000135;0.0933;0.347;95.011;4;;;;;;;;;;
spotify:track:277ia0CBOO47RhG7XSLj4b;Risueña;Risueña;Omar Montes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spotify:track:4hO4Y9WR9NL5L7XnqtbTyE;90 Minutos;Trece Verdades;India Martinez;08/02/2011;200373;53;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;flamenco,flamenco pop;Ariola;0.543;0.315;4;-5.743;1;0.0402;0.591;0;0.134;0.195;77.011;4;;;;;;;;;;
spotify:track:42k1KeBehAd83lrGt1okiC;Loca (feat. El Cata);Sale el Sol;Shakira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spotify:track:2VTaauLbYR0VxWaT9rlQFi;Pienso en Aquella Tarde - Nueva Versión;Algo para Cantar;Pereza;11/07/2003;221693;45;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;RCA Records Label;0.712;0.629;7;-6.554;1;0.0269;0.203;0;0.0838;0.633;119.946;4;;;;;;;;;;
spotify:track:12oFSoib1tf0r2rd1Fgsfe;Convénceme;Convénceme;India Martinez;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spotify:track:4eUhX5KmmQp537lxDJpmQK;La Madre;La Vida en Canciones;Víctor Manuel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spotify:track:75HnDKDqsmEzdOKFWe5FZS;VIVIR ASÍ ES MORIR DE AMOR;VIVIR ASÍ ES MORIR DE AMOR;NATHY PELUSO;10/12/2021;257379;61;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Sony Music Entertainment;0.62;0.803;5;-5.514;0;0.0536;0.0881;0.000155;0.1;0.717;102;4;;;;;;;;;;
spotify:track:0Wn489VvZ0b5MRm62LMmUM;Portales;Lo Que Me Dé la Gana;Dani Martín;16/10/2020;225520;46;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Sony Music Entertainment;0.447;0.519;9;-4.872;1;0.0314;0.175;0;0.0872;0.231;76.857;4;;;;;;;;;;
spotify:track:0JKUSybmsE4rU1MpImJn0j;Cómo Quieres Que Te Quiera;Esencial Rosario;Rosario;23/07/2013;265813;20;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;flamenco,flamenco pop;Legacy Recordings;0.763;0.714;4;-7.39;0;0.0667;0.313;0;0.067;0.645;126.002;4;;;;;;;;;;
spotify:track:7chjOPhoxbpRYSrO1rvdnu;5 Sentidos;5 Sentidos;Dvicio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spotify:track:0XPayKZFFZA2PwSRNi1pVU;Terriblemente Cruel;Polvora;Leiva;31/01/2014;227600;64;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Ariola;0.549;0.831;0;-4.17;1;0.0304;0.0281;0;0.0842;0.615;125.594;4;;;;;;;;;;
spotify:track:740Rh302Wm6uHRsYTa4KDQ;A San Fernando un Ratito a Pie y Otro Caminando;Arena En Los Bolsillos;Manolo Garcia;14/11/1998;227666;58;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;flamenco,flamenco pop;Ariola;0.56;0.918;6;-4.399;0;0.0735;0.132;0.0000024;0.435;0.743;135.251;4;;;;;;;;;;
spotify:track:7oZpaS7DDMyl3U7RnHsPKp;Siete Vidas;Esencial Antonio Flores;Antonio Flores;23/07/2013;240906;19;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;flamenco,trova,cantautores;Legacy Recordings;0.543;0.457;9;-6.329;0;0.026;0.556;0;0.155;0.521;135.742;4;;;;;;;;;;
spotify:track:0j6eJIII2AucQBgCGxPrFx;Millonario;Tengo Que Calmarme;Pol Granch;26/06/2020;189690;28;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Sony Music Entertainment;0.552;0.576;10;-7.072;1;0.121;0.206;0;0.213;0.386;80.271;4;;;;;;;;;;
spotify:track:4uctPC0cRfw3vOmK2YF4xR;Mi Pequeño Chernóbil;Mi Pequeño Chernóbil;Leiva;02/04/2020;260030;39;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Sony Music Entertainment;0.509;0.669;7;-7.763;1;0.0423;0.00538;0.00494;0.107;0.305;131.846;4;;;;;;;;;;
