Numero;Titulo;Artista;Año;Enlace;Enlace clean;Enlace ok
118;Las Campanas del Amor;Monica Naranjo;1997;spotify:track:6BOdOiwlrChSQkyO9CQnYQ;6BOdOiwlrChSQkyO9CQnYQ;https://open.spotify.com/intl-es/track/6BOdOiwlrChSQkyO9CQnYQ
119;Te Estoy Queriendo Tanto;Siempre Asi;1997;spotify:track:1Nr7Sj9d0dVZ6xJdvoS5yE;1Nr7Sj9d0dVZ6xJdvoS5yE;https://open.spotify.com/intl-es/track/1Nr7Sj9d0dVZ6xJdvoS5yE
120;El del Medio de los Chichos;Estopa;1999;spotify:track:4UMCpYrmgZv9CsyLvrws4F;4UMCpYrmgZv9CsyLvrws4F;https://open.spotify.com/intl-es/track/4UMCpYrmgZv9CsyLvrws4F
121;Sarà perché ti amo;Ricchi E Poveri;1998;spotify:track:7037bX3jdaUWUAXL12CHGy;7037bX3jdaUWUAXL12CHGy;https://open.spotify.com/intl-es/track/7037bX3jdaUWUAXL12CHGy
122;Corazón Contento;Marisol;1968;spotify:track:5r5hCjNjWdmQTHtHBZ7ghy;5r5hCjNjWdmQTHtHBZ7ghy;https://open.spotify.com/intl-es/track/5r5hCjNjWdmQTHtHBZ7ghy
123;Estando Contigo;Marisol;1961;spotify:track:1daUAcGgT52l7KevC8gw3p;1daUAcGgT52l7KevC8gw3p;https://open.spotify.com/intl-es/track/1daUAcGgT52l7KevC8gw3p
124;Cerrado por Derribo;Joaquín Sabina;1999;spotify:track:2LmQV8kR5L6ooO1hTokgwa;2LmQV8kR5L6ooO1hTokgwa;https://open.spotify.com/intl-es/track/2LmQV8kR5L6ooO1hTokgwa
125;La Ultima Carta;Los Cucas;1999;spotify:track:0snvfum1KpU3X8DdAvV9bo;0snvfum1KpU3X8DdAvV9bo;https://open.spotify.com/intl-es/track/0snvfum1KpU3X8DdAvV9bo
126;Marea;Marea;1999;spotify:track:4TUYhTFCrUoJCONLmcZ3Zg;4TUYhTFCrUoJCONLmcZ3Zg;https://open.spotify.com/intl-es/track/4TUYhTFCrUoJCONLmcZ3Zg
127;Cumpleaños Total;Los Planetas;1999;spotify:track:5QJhfu8ajjVuJetRxw1B4K;5QJhfu8ajjVuJetRxw1B4K;https://open.spotify.com/intl-es/track/5QJhfu8ajjVuJetRxw1B4K
128;Aprendiz;Malú;1998;spotify:track:6IDgYT1p1n0M5kQVjLQozC;6IDgYT1p1n0M5kQVjLQozC;https://open.spotify.com/intl-es/track/6IDgYT1p1n0M5kQVjLQozC
129;Bandido;Azucar Moreno;1990;spotify:track:2rHhKu1hW8uqyr7LSrRn8E;2rHhKu1hW8uqyr7LSrRn8E;https://open.spotify.com/intl-es/track/2rHhKu1hW8uqyr7LSrRn8E
130;Sabor, Sabor;Rosario;1992;spotify:track:4zMJYmYSTZBNn1YdZVznSS;4zMJYmYSTZBNn1YdZVznSS;https://open.spotify.com/intl-es/track/4zMJYmYSTZBNn1YdZVznSS
131;Punto De Partida (with Monica Naranjo);Rocío Jurado;2006;spotify:track:75cWbqIqhfEfX8uOHlgWZV;75cWbqIqhfEfX8uOHlgWZV;https://open.spotify.com/intl-es/track/75cWbqIqhfEfX8uOHlgWZV
132;Corazón de Tiza;Radio Futura;1984;spotify:track:1qKxd0wZWIBR2D3dqFJbVD;1qKxd0wZWIBR2D3dqFJbVD;https://open.spotify.com/intl-es/track/1qKxd0wZWIBR2D3dqFJbVD
133;Camino de la cama;Siniestro Total;1990;spotify:track:4V9rNbT5b0TTZrGAEgteDi;4V9rNbT5b0TTZrGAEgteDi;https://open.spotify.com/intl-es/track/4V9rNbT5b0TTZrGAEgteDi
134;Los Chicos Con las Chicas;Los Bravos;1998;spotify:track:1k4kMMTPN5Yc0KdMxtMTuj;1k4kMMTPN5Yc0KdMxtMTuj;https://open.spotify.com/intl-es/track/1k4kMMTPN5Yc0KdMxtMTuj
135;Salir;Extremoduro;1991;spotify:track:4z2EeFUp5Lhai9qhHtA6IF;4z2EeFUp5Lhai9qhHtA6IF;https://open.spotify.com/intl-es/track/4z2EeFUp5Lhai9qhHtA6IF
136;20 de abril;Celtas Cortos;1999;spotify:track:7ifOnwJC0oH7cfbJQbUye1;7ifOnwJC0oH7cfbJQbUye1;https://open.spotify.com/intl-es/track/7ifOnwJC0oH7cfbJQbUye1
137;Llamando a la tierra - Serenade From the Stars;M-Clan;1997;spotify:track:7M65iLprqQ9UJNqer4g6AM;7M65iLprqQ9UJNqer4g6AM;https://open.spotify.com/intl-es/track/7M65iLprqQ9UJNqer4g6AM
138;La flaca;Jarabe De Palo;1996;spotify:track:1MrZ8hGkUWMmT816wPaMgE;1MrZ8hGkUWMmT816wPaMgE;https://open.spotify.com/intl-es/track/1MrZ8hGkUWMmT816wPaMgE
139;A fuego lento;Rosana;1996;spotify:track:7nK3q1GgJDxlWfCwtiLV5a;7nK3q1GgJDxlWfCwtiLV5a;https://open.spotify.com/intl-es/track/7nK3q1GgJDxlWfCwtiLV5a
140;¡Que Bonito!;Rosario;1996;spotify:track:1MO5KuLnSaY1dlkWGDjHkT;1MO5KuLnSaY1dlkWGDjHkT;https://open.spotify.com/intl-es/track/1MO5KuLnSaY1dlkWGDjHkT
141;Noches de bohemia - Radio Edit;Navajita Platea;1997;spotify:track:1JpZMDDAkfhnrO6nXIQZ2g;1JpZMDDAkfhnrO6nXIQZ2g;https://open.spotify.com/intl-es/track/1JpZMDDAkfhnrO6nXIQZ2g
142;Flaca;Andrés Calamaro;1997;spotify:track:1p7m9H4H8s0Y7SgRm7j3ED;1p7m9H4H8s0Y7SgRm7j3ED;https://open.spotify.com/intl-es/track/1p7m9H4H8s0Y7SgRm7j3ED
143;La Lola;Café Quijano;1998;spotify:track:5hyq5k3Do9gW3HGvDg5ZEJ;5hyq5k3Do9gW3HGvDg5ZEJ;https://open.spotify.com/intl-es/track/5hyq5k3Do9gW3HGvDg5ZEJ
144;El sitio de mi recreo;Antonio Vega;1998;spotify:track:2tkMVjFwDzUCG3ulmz3fCb;2tkMVjFwDzUCG3ulmz3fCb;https://open.spotify.com/intl-es/track/2tkMVjFwDzUCG3ulmz3fCb
145;Pajaros de Barro;Manolo Garcia;1995;spotify:track:4B6ko7lt1sUtyFzBDF4yfK;4B6ko7lt1sUtyFzBDF4yfK;https://open.spotify.com/intl-es/track/4B6ko7lt1sUtyFzBDF4yfK
146;Como un burro amarrado en la puerta del baile;El Último De La Fila;1993;spotify:track:0IUFjvwlh18TWiTi6kO5pP;0IUFjvwlh18TWiTi6kO5pP;https://open.spotify.com/intl-es/track/0IUFjvwlh18TWiTi6kO5pP
147;Por verte sonreír;La Fuga;1998;spotify:track:6tGUkobti5ztrb9aQ0UDEx;6tGUkobti5ztrb9aQ0UDEx;https://open.spotify.com/intl-es/track/6tGUkobti5ztrb9aQ0UDEx
148;A San Fernando un Ratito a Pie y Otro Caminando;Manolo Garcia;1998;spotify:track:740Rh302Wm6uHRsYTa4KDQ;740Rh302Wm6uHRsYTa4KDQ;https://open.spotify.com/intl-es/track/740Rh302Wm6uHRsYTa4KDQ
149;Grita;Jarabe De Palo;1996;spotify:track:0wmYFlVkmGVUtfcY1r0SrP;0wmYFlVkmGVUtfcY1r0SrP;https://open.spotify.com/intl-es/track/0wmYFlVkmGVUtfcY1r0SrP
150;Estoy Aquí;Shakira;1995;spotify:track:4M1lEbqPzlEw1JYWB6aE7K;4M1lEbqPzlEw1JYWB6aE7K;https://open.spotify.com/intl-es/track/4M1lEbqPzlEw1JYWB6aE7K
151;Entre dos tierras;Heroes Del Silencio;1990;spotify:track:7BYqVvoXpQFhs4jJ0qqNZt;7BYqVvoXpQFhs4jJ0qqNZt;https://open.spotify.com/intl-es/track/7BYqVvoXpQFhs4jJ0qqNZt
152;Vivo per lei;Andrea Bocelli;1995;spotify:track:6cPLCU7hKjgjvLWzCevl7R;6cPLCU7hKjgjvLWzCevl7R;https://open.spotify.com/intl-es/track/6cPLCU7hKjgjvLWzCevl7R
153;So payaso;Extremoduro;1996;spotify:track:5HSpMRUC4m3L3q48to2Kmu;5HSpMRUC4m3L3q48to2Kmu;https://open.spotify.com/intl-es/track/5HSpMRUC4m3L3q48to2Kmu
154;Rojitas las orejas;Fito y Fitipaldis;1998;spotify:track:42R5irny7qThOYUThAL7VW;42R5irny7qThOYUThAL7VW;https://open.spotify.com/intl-es/track/42R5irny7qThOYUThAL7VW
155;Mar antiguo;El Último De La Fila;1993;spotify:track:3tduKvstqxOddo4CCq4FK1;3tduKvstqxOddo4CCq4FK1;https://open.spotify.com/intl-es/track/3tduKvstqxOddo4CCq4FK1
156;Al Amanecer;Los Fresones Rebeldes;1997;spotify:track:7qhuaYIafvH285FtQT71oQ;7qhuaYIafvH285FtQT71oQ;https://open.spotify.com/intl-es/track/7qhuaYIafvH285FtQT71oQ
157;La senda del tiempo;Celtas Cortos;1990;spotify:track:6dMKB6nyxcg8hllDzPCvRc;6dMKB6nyxcg8hllDzPCvRc;https://open.spotify.com/intl-es/track/6dMKB6nyxcg8hllDzPCvRc
158;Promesas que no valen nada;Los Piratas;1995;spotify:track:37f6dBsGwi5V9OOXI1KYe7;37f6dBsGwi5V9OOXI1KYe7;https://open.spotify.com/intl-es/track/37f6dBsGwi5V9OOXI1KYe7
159;Serenade;Dover;1997;spotify:track:4tzi4VV1vCTZsT4SEKQIKJ;4tzi4VV1vCTZsT4SEKQIKJ;https://open.spotify.com/intl-es/track/4tzi4VV1vCTZsT4SEKQIKJ
160;El roce de tu cuerpo;Platero Y Tu;1992;spotify:track:3EPd9riN2R8Zjl6GkrxxGl;3EPd9riN2R8Zjl6GkrxxGl;https://open.spotify.com/intl-es/track/3EPd9riN2R8Zjl6GkrxxGl
161;Cosas de la Edad;Modestia Aparte;1990;spotify:track:0wkQHjULGZeZC15hOl9jl4;0wkQHjULGZeZC15hOl9jl4;https://open.spotify.com/intl-es/track/0wkQHjULGZeZC15hOl9jl4
162;Tu Calorro;Estopa;1999;spotify:track:0DXI6c9tNWsI4tvUftkQN8;0DXI6c9tNWsI4tvUftkQN8;https://open.spotify.com/intl-es/track/0DXI6c9tNWsI4tvUftkQN8
163;Te echaré de menos (feat. Sole Gimenez);Los Piratas;1997;spotify:track:2UNsLrBr6NXkIDtfMc4Vbw;2UNsLrBr6NXkIDtfMc4Vbw;https://open.spotify.com/intl-es/track/2UNsLrBr6NXkIDtfMc4Vbw
164;Chiquilla;Seguridad Social;1991;spotify:track:4eJikwHYHJ3yMg1tvS1Mom;4eJikwHYHJ3yMg1tvS1Mom;https://open.spotify.com/intl-es/track/4eJikwHYHJ3yMg1tvS1Mom
165;Quedate a dormir;M-Clan;1999;spotify:track:0UQitarNPDgB7ObJCj47kn;0UQitarNPDgB7ObJCj47kn;https://open.spotify.com/intl-es/track/0UQitarNPDgB7ObJCj47kn
166;Como Te Mueves;Modestia Aparte;1991;spotify:track:3eSxyGVZawSoh1JUEEoVDD;3eSxyGVZawSoh1JUEEoVDD;https://open.spotify.com/intl-es/track/3eSxyGVZawSoh1JUEEoVDD
167;Por la Raja de Tu Falda;Estopa;1999;spotify:track:5OaqffbeQyVVqtnA71Ci7K;5OaqffbeQyVVqtnA71Ci7K;https://open.spotify.com/intl-es/track/5OaqffbeQyVVqtnA71Ci7K
168;Dolores se llamaba Lola;Los Suaves;1988;spotify:track:5kQb5n1sMy5CmYTSoB5p6M;5kQb5n1sMy5CmYTSoB5p6M;https://open.spotify.com/intl-es/track/5kQb5n1sMy5CmYTSoB5p6M
169;Eldorado;Revolver;1995;spotify:track:5z4bBpoquaB0xHvXZH9L2w;5z4bBpoquaB0xHvXZH9L2w;https://open.spotify.com/intl-es/track/5z4bBpoquaB0xHvXZH9L2w
170;Papá Cuéntame Otra Vez;Ismael Serrano;1997;spotify:track:5lg2cApHn9zCVkJcwou0iN;5lg2cApHn9zCVkJcwou0iN;https://open.spotify.com/intl-es/track/5lg2cApHn9zCVkJcwou0iN
171;Una Rosa Es una Rosa;Mecano;1991;spotify:track:4t4JJ0RG2KWhrTVdSrp7O9;4t4JJ0RG2KWhrTVdSrp7O9;https://open.spotify.com/intl-es/track/4t4JJ0RG2KWhrTVdSrp7O9
172;En Blanco Y Negro;Barricada;1995;spotify:track:0FJBWXOa9tYcJCxv1YxP9H;0FJBWXOa9tYcJCxv1YxP9H;https://open.spotify.com/intl-es/track/0FJBWXOa9tYcJCxv1YxP9H
173;Tras la barra;Platero Y Tu;1993;spotify:track:0fN93Sc6gJCkHbh9bqlLX7;0fN93Sc6gJCkHbh9bqlLX7;https://open.spotify.com/intl-es/track/0fN93Sc6gJCkHbh9bqlLX7
174;Depende;Jarabe De Palo;1998;spotify:track:6aaPUBUFw9KEW1p1inVQv9;6aaPUBUFw9KEW1p1inVQv9;https://open.spotify.com/intl-es/track/6aaPUBUFw9KEW1p1inVQv9
175;Lagrimas De Amor;Camela;1994;spotify:track:7wjQF9XTCrjvQZLeZBGMWs;7wjQF9XTCrjvQZLeZBGMWs;https://open.spotify.com/intl-es/track/7wjQF9XTCrjvQZLeZBGMWs
176;Voy en un coche;Christina y Los Subterraneos;1992;spotify:track:4SnU0W6LY2CD4iH5vb4kgQ;4SnU0W6LY2CD4iH5vb4kgQ;https://open.spotify.com/intl-es/track/4SnU0W6LY2CD4iH5vb4kgQ
177;Ya No Quiero Tu Querer;José El Francés;1993;spotify:track:4ZWU1yATGjEQQz2FCnmX3b;4ZWU1yATGjEQQz2FCnmX3b;https://open.spotify.com/intl-es/track/4ZWU1yATGjEQQz2FCnmX3b
178;Clavado en Un Bar;Maná;1997;spotify:track:78DVpEWwmJFC25KGz8fJuE;78DVpEWwmJFC25KGz8fJuE;https://open.spotify.com/intl-es/track/78DVpEWwmJFC25KGz8fJuE
179;Si es tan solo amor;Revolver;1993;spotify:track:02MahX3ZEDqQI8akhisqOc;02MahX3ZEDqQI8akhisqOc;https://open.spotify.com/intl-es/track/02MahX3ZEDqQI8akhisqOc
180;Hay poco rock'n'roll;Platero Y Tu;1994;spotify:track:36j2mLDy4nPQRnvst4moR4;36j2mLDy4nPQRnvst4moR4;https://open.spotify.com/intl-es/track/36j2mLDy4nPQRnvst4moR4
181;Mucho mejor (feat. Coque Malla);Los Rodriguez;1995;spotify:track:06xLo8Oa53wmBMdWcIsqPL;06xLo8Oa53wmBMdWcIsqPL;https://open.spotify.com/intl-es/track/06xLo8Oa53wmBMdWcIsqPL
182;Ciega, Sordomuda;Shakira;1998;spotify:track:7jxHeJLVpnP7S08JFF4GBi;7jxHeJLVpnP7S08JFF4GBi;https://open.spotify.com/intl-es/track/7jxHeJLVpnP7S08JFF4GBi
183;Amigos para Siempre;Los Manolos;1992;spotify:track:6PfQB3xEbIlky1dXOb3Yyh;6PfQB3xEbIlky1dXOb3Yyh;https://open.spotify.com/intl-es/track/6PfQB3xEbIlky1dXOb3Yyh
184;El ritmo del mar;Celtas Cortos;1991;spotify:track:4wzMQBLGXFoZkbEwNP2QJu;4wzMQBLGXFoZkbEwNP2QJu;https://open.spotify.com/intl-es/track/4wzMQBLGXFoZkbEwNP2QJu
185;Sin documentos;Los Rodriguez;1993;spotify:track:6eOT73H5zfEwTCe1Y0FDCc;6eOT73H5zfEwTCe1Y0FDCc;https://open.spotify.com/intl-es/track/6eOT73H5zfEwTCe1Y0FDCc
186;Kalikeno - Rumba;Ketama;1990;spotify:track:4LxFbjtxUtV1h6DNIqRBIK;4LxFbjtxUtV1h6DNIqRBIK;https://open.spotify.com/intl-es/track/4LxFbjtxUtV1h6DNIqRBIK
187;No Puedo Vivir Sin Ti;El Canto Del Loco;2009;spotify:track:3K8BeABgLXZ3JHhdM3rZBx;3K8BeABgLXZ3JHhdM3rZBx;https://open.spotify.com/intl-es/track/3K8BeABgLXZ3JHhdM3rZBx
188;El Secreto de las Tortugas;Maldita Nerea;2009;spotify:track:1sMgCr1RH0HfAazVZt9xmZ;1sMgCr1RH0HfAazVZt9xmZ;https://open.spotify.com/intl-es/track/1sMgCr1RH0HfAazVZt9xmZ
189;Zapatillas;El Canto Del Loco;2005;spotify:track:42VgiRyg0YjtRVLiPFNxPJ;42VgiRyg0YjtRVLiPFNxPJ;https://open.spotify.com/intl-es/track/42VgiRyg0YjtRVLiPFNxPJ
190;Como Camarón;Estopa;1999;spotify:track:1VB4sadHjFcFklHcZuoROi;1VB4sadHjFcFklHcZuoROi;https://open.spotify.com/intl-es/track/1VB4sadHjFcFklHcZuoROi
191;Princesas;Pereza;2005;spotify:track:3hlWUNjAlbZ6nOjAbrivBv;3hlWUNjAlbZ6nOjAbrivBv;https://open.spotify.com/intl-es/track/3hlWUNjAlbZ6nOjAbrivBv
192;Rosas;La Oreja de Van Gogh;2003;spotify:track:4waqcUQWdj0yH26STWl2Rq;4waqcUQWdj0yH26STWl2Rq;https://open.spotify.com/intl-es/track/4waqcUQWdj0yH26STWl2Rq
193;Volvera;El Canto Del Loco;2005;spotify:track:4QBrx05HrLnohYaS1cPGHO;4QBrx05HrLnohYaS1cPGHO;https://open.spotify.com/intl-es/track/4QBrx05HrLnohYaS1cPGHO
194;Con La Luna Llena;Melendi;2005;spotify:track:0XJAzR3E4lq5aNGGDh8HUT;0XJAzR3E4lq5aNGGDh8HUT;https://open.spotify.com/intl-es/track/0XJAzR3E4lq5aNGGDh8HUT
195;Son de Amores;Andy & Lucas;2003;spotify:track:7cC1xYRITIkGKAGCSyqCAv;7cC1xYRITIkGKAGCSyqCAv;https://open.spotify.com/intl-es/track/7cC1xYRITIkGKAGCSyqCAv
196;Me Muero;La Quinta Estacion;2006;spotify:track:3ri9fLG89OdSpjxheYxU7S;3ri9fLG89OdSpjxheYxU7S;https://open.spotify.com/intl-es/track/3ri9fLG89OdSpjxheYxU7S
197;Se Fue;Rauw Alejandro;2024;spotify:track:1uFW6czrHk5PsK3s6gOI7C;1uFW6czrHk5PsK3s6gOI7C;https://open.spotify.com/intl-es/track/1uFW6czrHk5PsK3s6gOI7C
198;SI ELLA SUPIERA;India Martinez;2022;spotify:track:0quM3iWAOKw9OGIMBsppSC;0quM3iWAOKw9OGIMBsppSC;https://open.spotify.com/intl-es/track/0quM3iWAOKw9OGIMBsppSC
199;El Polvo de los Días Raros;Leiva;2025;spotify:track:6z98CyBiVapgBCecH98y4d;6z98CyBiVapgBCecH98y4d;https://open.spotify.com/intl-es/track/6z98CyBiVapgBCecH98y4d
200;Puede Ser (with Amaia Montero);El Canto Del Loco;2002;spotify:track:1TtwCkFbGv89XmuUNmoINt;1TtwCkFbGv89XmuUNmoINt;https://open.spotify.com/intl-es/track/1TtwCkFbGv89XmuUNmoINt
201;Carpe Diem;Dani Martín;2024;spotify:track:4l7qXzZrZnr2RUgSVSKtnD;4l7qXzZrZnr2RUgSVSKtnD;https://open.spotify.com/intl-es/track/4l7qXzZrZnr2RUgSVSKtnD
202;Hoy no me siento bien;Alejandro Sanz;2024;spotify:track:5xKUXB7fsIEpDYc6mBfSwT;5xKUXB7fsIEpDYc6mBfSwT;https://open.spotify.com/intl-es/track/5xKUXB7fsIEpDYc6mBfSwT
203;La Salvación;Arde Bogotá;2024;spotify:track:6XY4Zaf0AoE5movPc2FfaZ;6XY4Zaf0AoE5movPc2FfaZ;https://open.spotify.com/intl-es/track/6XY4Zaf0AoE5movPc2FfaZ
204;Dolce Vita;Amaral;2025;spotify:track:5zyxGztIuOp27VhkVf1hMZ;5zyxGztIuOp27VhkVf1hMZ;https://open.spotify.com/intl-es/track/5zyxGztIuOp27VhkVf1hMZ
205;Pop;Vicco;2023;spotify:track:51VLqRIxEjfT6guWSxEElY;51VLqRIxEjfT6guWSxEElY;https://open.spotify.com/intl-es/track/51VLqRIxEjfT6guWSxEElY
206;PLAN DE HOY [QUIERO VERTE];Abraham Mateo;2025;spotify:track:7bM39j41perIVseatvugg3;7bM39j41perIVseatvugg3;https://open.spotify.com/intl-es/track/7bM39j41perIVseatvugg3
207;HOY TENGO GANAS DE TI;Abraham Mateo;2024;spotify:track:27AycGPhBPGCc6YnTZTaSh;27AycGPhBPGCc6YnTZTaSh;https://open.spotify.com/intl-es/track/27AycGPhBPGCc6YnTZTaSh
208;Viento de Cara;Supersubmarina;2014;spotify:track:5sKdpvvNyRJifUmYLNiYys;5sKdpvvNyRJifUmYLNiYys;https://open.spotify.com/intl-es/track/5sKdpvvNyRJifUmYLNiYys
209;La Razón;Ana Mena;2024;spotify:track:3CmSv76KDKsvtiyrdgHZHH;3CmSv76KDKsvtiyrdgHZHH;https://open.spotify.com/intl-es/track/3CmSv76KDKsvtiyrdgHZHH
210;Me Acuerdo De Ti;Abraham Mateo;2024;spotify:track:4bPxqFfAt9EaFqdIDTxczw;4bPxqFfAt9EaFqdIDTxczw;https://open.spotify.com/intl-es/track/4bPxqFfAt9EaFqdIDTxczw
211;Futuros amantes;Guitarricadelafuente;2025;spotify:track:6o8AfVju660AZb5XL5rzzP;6o8AfVju660AZb5XL5rzzP;https://open.spotify.com/intl-es/track/6o8AfVju660AZb5XL5rzzP
212;Bailarina;Abraham Mateo;2024;spotify:track:3MTzCXM4r6yTOLhiuIaRfh;3MTzCXM4r6yTOLhiuIaRfh;https://open.spotify.com/intl-es/track/3MTzCXM4r6yTOLhiuIaRfh
213;Tormenta Perfecta;Amaia Montero;2014;spotify:track:1RG4xMoRobbuqGYHaF4nRp;1RG4xMoRobbuqGYHaF4nRp;https://open.spotify.com/intl-es/track/1RG4xMoRobbuqGYHaF4nRp
214;EL PANTALON - RUMBAS;Omar Montes;2024;spotify:track:7CsOowK8aWlxgjuZLW7pXA;7CsOowK8aWlxgjuZLW7pXA;https://open.spotify.com/intl-es/track/7CsOowK8aWlxgjuZLW7pXA
215;Clavaito;Chanel;2023;spotify:track:26V1bLUk0SBYkLEwl4caPR;26V1bLUk0SBYkLEwl4caPR;https://open.spotify.com/intl-es/track/26V1bLUk0SBYkLEwl4caPR
216;Madrid City;Ana Mena;2023;spotify:track:6KHxe3Yj8W8oq3zviUvJRe;6KHxe3Yj8W8oq3zviUvJRe;https://open.spotify.com/intl-es/track/6KHxe3Yj8W8oq3zviUvJRe
217;Besos;El Canto Del Loco;2005;spotify:track:7MKO7rUZzjw8p87zdZDgqa;7MKO7rUZzjw8p87zdZDgqa;https://open.spotify.com/intl-es/track/7MKO7rUZzjw8p87zdZDgqa
218;Nunca Volverás;Vicco;2023;spotify:track:1b9sYsa4aFiBv7mqOKvwsM;1b9sYsa4aFiBv7mqOKvwsM;https://open.spotify.com/intl-es/track/1b9sYsa4aFiBv7mqOKvwsM
219;ENGATUSAO =^.^=;Vicco;2024;spotify:track:00MEN35cUoB4rp00iZuiFV;00MEN35cUoB4rp00iZuiFV;https://open.spotify.com/intl-es/track/00MEN35cUoB4rp00iZuiFV
220;BABIECA!;Guitarricadelafuente;2025;spotify:track:45VlOHY7pEd6IC3plYeKZ3;45VlOHY7pEd6IC3plYeKZ3;https://open.spotify.com/intl-es/track/45VlOHY7pEd6IC3plYeKZ3
221;Palmeras en el jardín;Alejandro Sanz;2024;spotify:track:5MMEQLCzl9GsknyH42xFOX;5MMEQLCzl9GsknyH42xFOX;https://open.spotify.com/intl-es/track/5MMEQLCzl9GsknyH42xFOX
222;El Último Día de Nuestras Vidas;Dani Martín;2024;spotify:track:6vYVTjrP8Nd6nsdjCrabM5;6vYVTjrP8Nd6nsdjCrabM5;https://open.spotify.com/intl-es/track/6vYVTjrP8Nd6nsdjCrabM5
223;Comiendote a Besos;Rozalén;2013;spotify:track:02FKjeU8CrA2ckppBa5RJg;02FKjeU8CrA2ckppBa5RJg;https://open.spotify.com/intl-es/track/02FKjeU8CrA2ckppBa5RJg
224;Tienes Que Saber;Abraham Mateo;2022;spotify:track:2Y9xXXMWqETUfonJjXP25k;2Y9xXXMWqETUfonJjXP25k;https://open.spotify.com/intl-es/track/2Y9xXXMWqETUfonJjXP25k
225;LAS 12;Ana Mena;2022;spotify:track:0EpdLuptraYGFZ6J7HNSLc;0EpdLuptraYGFZ6J7HNSLc;https://open.spotify.com/intl-es/track/0EpdLuptraYGFZ6J7HNSLc
226;Falsos Recuerdos;Abraham Mateo;2022;spotify:track:4snJ71Uz5KvX1CW0SaUiZY;4snJ71Uz5KvX1CW0SaUiZY;https://open.spotify.com/intl-es/track/4snJ71Uz5KvX1CW0SaUiZY
227;Titiritar;Pol Granch;2024;spotify:track:7cJDcvC6nSbkx4quEn7vTk;7cJDcvC6nSbkx4quEn7vTk;https://open.spotify.com/intl-es/track/7cJDcvC6nSbkx4quEn7vTk
228;A carta cabal;Guitarricadelafuente;2022;spotify:track:3asOJIkC0NT24zR2S20azY;3asOJIkC0NT24zR2S20azY;https://open.spotify.com/intl-es/track/3asOJIkC0NT24zR2S20azY
229;LLYLM;ROSALÍA;2023;spotify:track:2SiAcexM2p1yX6joESbehd;2SiAcexM2p1yX6joESbehd;https://open.spotify.com/intl-es/track/2SiAcexM2p1yX6joESbehd
230;solo x ti;Pol Granch;2022;spotify:track:1uUVwLyzKnU8ft18H3QDu9;1uUVwLyzKnU8ft18H3QDu9;https://open.spotify.com/intl-es/track/1uUVwLyzKnU8ft18H3QDu9
231;No, No Vuelve;Dani Martín;2021;spotify:track:0ALmQwK6LPYk8dkZozCGd9;0ALmQwK6LPYk8dkZozCGd9;https://open.spotify.com/intl-es/track/0ALmQwK6LPYk8dkZozCGd9
232;La Culpa (feat. Canelita);C. Tangana;2021;spotify:track:60e6OnYOu0h7LLhYXgINma;60e6OnYOu0h7LLhYXgINma;https://open.spotify.com/intl-es/track/60e6OnYOu0h7LLhYXgINma
233;La increíble historia entre tú y yo;Maldita Nerea;2022;spotify:track:1MAbXU7OMsOSEH9RoGT5Rs;1MAbXU7OMsOSEH9RoGT5Rs;https://open.spotify.com/intl-es/track/1MAbXU7OMsOSEH9RoGT5Rs
234;Gigante;Leiva;2025;spotify:track:34vh6JPA1veSYpM0hkNCSE;34vh6JPA1veSYpM0hkNCSE;https://open.spotify.com/intl-es/track/34vh6JPA1veSYpM0hkNCSE
